task_name,raw_excel_path,target_chembl_id,target_organism,target_pref_name,assay_type,standard_type,molecules_num,processed_data_dir
F_CHEMBL1889_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target58.csv,CHEMBL1889,Homo sapiens,Vasopressin V1a receptor,F,IC50,182,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target58
F_CHEMBL5857_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target3.csv,CHEMBL5857,Homo sapiens,Trace amine-associated receptor 1,F,IC50,407,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target3
F_CHEMBL5162_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target32.csv,CHEMBL5162,Homo sapiens,Neuropeptide S receptor,F,IC50,116,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target32
F_CHEMBL4523430_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target55.csv,CHEMBL4523430,Homo sapiens,Mas-related G-protein coupled receptor member X4,F,IC50,275,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target55
F_CHEMBL234_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target65.csv,CHEMBL234,Homo sapiens,Dopamine D3 receptor,F,IC50,110,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target65
F_CHEMBL4015_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target63.csv,CHEMBL4015,Homo sapiens,C-C chemokine receptor type 2,F,IC50,716,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target63
F_CHEMBL252_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target13.csv,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,F,IC50,207,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target13
F_CHEMBL3714130_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target34.csv,CHEMBL3714130,Homo sapiens,G-protein coupled receptor 6,F,IC50,933,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target34
F_CHEMBL236_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target28.csv,CHEMBL236,Homo sapiens,Delta opioid receptor,F,IC50,232,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target28
F_CHEMBL4792_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target59.csv,CHEMBL4792,Homo sapiens,Orexin receptor 2,F,IC50,1145,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target59
F_CHEMBL2094254_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target49.csv,CHEMBL2094254,Homo sapiens,Cysteinyl leukotriene receptor,F,IC50,211,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target49
F_CHEMBL2373_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target38.csv,CHEMBL2373,Homo sapiens,C5a anaphylatoxin chemotactic receptor,F,IC50,293,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target38
F_CHEMBL224_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target52.csv,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,F,IC50,289,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target52
F_CHEMBL5815_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target39.csv,CHEMBL5815,Homo sapiens,C-C chemokine receptor type 9,F,IC50,152,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target39
F_CHEMBL344_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target76.csv,CHEMBL344,Homo sapiens,Melanin-concentrating hormone receptor 1,F,IC50,1048,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target76
F_CHEMBL4018_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target26.csv,CHEMBL4018,Homo sapiens,Neuropeptide Y receptor type 2,F,IC50,180,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target26
F_CHEMBL2955_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target54.csv,CHEMBL2955,Homo sapiens,Sphingosine 1-phosphate receptor Edg-5,F,IC50,393,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target54
F_CHEMBL5113_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target5.csv,CHEMBL5113,Homo sapiens,Orexin receptor 1,F,IC50,1658,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target5
F_CHEMBL253_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target64.csv,CHEMBL253,Homo sapiens,Cannabinoid CB2 receptor,F,IC50,329,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target64
F_CHEMBL4308_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target70.csv,CHEMBL4308,Homo sapiens,Bradykinin B1 receptor,F,IC50,418,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target70
F_CHEMBL3473_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target2.csv,CHEMBL3473,Homo sapiens,C-C chemokine receptor type 3,F,IC50,269,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target2
F_CHEMBL4616_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target73.csv,CHEMBL4616,Homo sapiens,Ghrelin receptor,F,IC50,399,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target73
F_CHEMBL211_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target75.csv,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,F,IC50,228,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target75
F_CHEMBL217_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target46.csv,CHEMBL217,Homo sapiens,Dopamine D2 receptor,F,IC50,336,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target46
F_CHEMBL1836_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target47.csv,CHEMBL1836,Homo sapiens,Prostanoid EP4 receptor,F,IC50,213,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target47
F_CHEMBL233_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target60.csv,CHEMBL233,Homo sapiens,Mu opioid receptor,F,IC50,472,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target60
F_CHEMBL251_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target69.csv,CHEMBL251,Homo sapiens,Adenosine A2a receptor,F,IC50,355,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target69
F_CHEMBL2069_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target19.csv,CHEMBL2069,Homo sapiens,Thromboxane A2 receptor,F,IC50,454,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target19
F_CHEMBL2014_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target57.csv,CHEMBL2014,Homo sapiens,Nociceptin receptor,F,IC50,193,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target57
F_CHEMBL256_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target66.csv,CHEMBL256,Homo sapiens,Adenosine A3 receptor,F,IC50,259,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target66
F_CHEMBL2413_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target6.csv,CHEMBL2413,Homo sapiens,C-C chemokine receptor type 1,F,IC50,281,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target6
F_CHEMBL3359_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target24.csv,CHEMBL3359,Homo sapiens,Formyl peptide receptor 1,F,IC50,136,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target24
F_CHEMBL2414_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target40.csv,CHEMBL2414,Homo sapiens,C-C chemokine receptor type 4,F,IC50,291,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target40
F_CHEMBL1821_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target29.csv,CHEMBL1821,Homo sapiens,Muscarinic acetylcholine receptor M4,F,IC50,147,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target29
F_CHEMBL2095160_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target21.csv,CHEMBL2095160,Homo sapiens,Leukotriene B4 receptor,F,IC50,176,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target21
F_CHEMBL3230_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target8.csv,CHEMBL3230,Homo sapiens,Sphingosine 1-phosphate receptor Edg-6,F,IC50,196,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target8
F_CHEMBL4423_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target27.csv,CHEMBL4423,Homo sapiens,C-C chemokine receptor type 6,F,IC50,269,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target27
F_CHEMBL4596_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target4.csv,CHEMBL4596,Homo sapiens,C-C chemokine receptor type 8,F,IC50,114,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target4
F_CHEMBL231_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target14.csv,CHEMBL231,Homo sapiens,Histamine H1 receptor,F,IC50,142,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target14
F_CHEMBL274_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target12.csv,CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,F,IC50,782,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target12
F_CHEMBL3259470_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target37.csv,CHEMBL3259470,Homo sapiens,G-protein coupled receptor 183,F,IC50,123,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target37
F_CHEMBL4315_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target33.csv,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,F,IC50,154,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target33
F_CHEMBL3155_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target48.csv,CHEMBL3155,Homo sapiens,Serotonin 7 (5-HT7) receptor,F,IC50,114,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target48
F_CHEMBL259_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target15.csv,CHEMBL259,Homo sapiens,Melanocortin receptor 4,F,IC50,226,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target15
F_CHEMBL264_Kd,./data/ChEMBL_data/in_vitro/F/Targets_G/Kd/Kd_target3.csv,CHEMBL264,Homo sapiens,Histamine H3 receptor,F,Kd,210,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Kd/Kd_target3
F_CHEMBL211_Kd,./data/ChEMBL_data/in_vitro/F/Targets_G/Kd/Kd_target4.csv,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,F,Kd,141,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Kd/Kd_target4
F_CHEMBL218_Kd,./data/ChEMBL_data/in_vitro/F/Targets_G/Kd/Kd_target5.csv,CHEMBL218,Homo sapiens,Cannabinoid CB1 receptor,F,Kd,165,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Kd/Kd_target5
F_CHEMBL2069_Kd,./data/ChEMBL_data/in_vitro/F/Targets_G/Kd/Kd_target2.csv,CHEMBL2069,Homo sapiens,Thromboxane A2 receptor,F,Kd,133,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Kd/Kd_target2
F_CHEMBL1293316_Potency,./data/ChEMBL_data/in_vitro/F/Targets_G/Potency/Potency_target1.csv,CHEMBL1293316,Homo sapiens,Relaxin receptor 1,F,Potency,4971,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Potency/Potency_target1
F_CHEMBL5162_Potency,./data/ChEMBL_data/in_vitro/F/Targets_G/Potency/Potency_target3.csv,CHEMBL5162,Homo sapiens,Neuropeptide S receptor,F,Potency,15388,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Potency/Potency_target3
F_CHEMBL1963_Potency,./data/ChEMBL_data/in_vitro/F/Targets_G/Potency/Potency_target2.csv,CHEMBL1963,Homo sapiens,Thyroid stimulating hormone receptor,F,Potency,28810,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Potency/Potency_target2
F_CHEMBL251_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target17.csv,CHEMBL251,Homo sapiens,Adenosine A2a receptor,F,Ki,457,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target17
F_CHEMBL3710_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target10.csv,CHEMBL3710,Homo sapiens,Prostanoid EP3 receptor,F,Ki,105,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target10
F_CHEMBL214_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target21.csv,CHEMBL214,Homo sapiens,Serotonin 1a (5-HT1a) receptor,F,Ki,258,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target21
F_CHEMBL234_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target15.csv,CHEMBL234,Homo sapiens,Dopamine D3 receptor,F,Ki,455,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target15
F_CHEMBL1811_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target11.csv,CHEMBL1811,Homo sapiens,Prostanoid EP1 receptor,F,Ki,146,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target11
F_CHEMBL226_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target19.csv,CHEMBL226,Homo sapiens,Adenosine A1 receptor,F,Ki,249,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target19
F_CHEMBL5113_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target1.csv,CHEMBL5113,Homo sapiens,Orexin receptor 1,F,Ki,186,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target1
F_CHEMBL217_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target8.csv,CHEMBL217,Homo sapiens,Dopamine D2 receptor,F,Ki,383,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target8
F_CHEMBL237_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target7.csv,CHEMBL237,Homo sapiens,Kappa opioid receptor,F,Ki,101,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target7
F_CHEMBL4792_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target12.csv,CHEMBL4792,Homo sapiens,Orexin receptor 2,F,Ki,142,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target12
F_CHEMBL3371_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target13.csv,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,F,Ki,169,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target13
F_CHEMBL2049_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target6.csv,CHEMBL2049,Homo sapiens,Oxytocin receptor,F,Ki,140,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target6
F_CHEMBL231_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target2.csv,CHEMBL231,Homo sapiens,Histamine H1 receptor,F,Ki,202,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target2
F_CHEMBL1898_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target3.csv,CHEMBL1898,Homo sapiens,Serotonin 1b (5-HT1b) receptor,F,Ki,131,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target3
F_CHEMBL1983_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target9.csv,CHEMBL1983,Homo sapiens,Serotonin 1d (5-HT1d) receptor,F,Ki,104,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target9
F_CHEMBL264_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target18.csv,CHEMBL264,Homo sapiens,Histamine H3 receptor,F,Ki,489,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target18
F_CHEMBL256_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target16.csv,CHEMBL256,Homo sapiens,Adenosine A3 receptor,F,Ki,144,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target16
F_CHEMBL4561_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target4.csv,CHEMBL4561,Homo sapiens,Neuropeptide Y receptor type 5,F,Ki,100,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target4
F_CHEMBL344_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target20.csv,CHEMBL344,Homo sapiens,Melanin-concentrating hormone receptor 1,F,Ki,259,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target20
F_CHEMBL4015_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target14.csv,CHEMBL4015,Homo sapiens,C-C chemokine receptor type 2,F,Ki,160,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target14
F_CHEMBL255_Ki,./data/ChEMBL_data/in_vitro/F/Targets_G/Ki/Ki_target5.csv,CHEMBL255,Homo sapiens,Adenosine A2b receptor,F,Ki,301,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/Ki/Ki_target5
F_CHEMBL1941_EC50,./data/ChEMBL_data/in_vitro/F/Targets_G/EC50/EC50_target63.csv,CHEMBL1941,Homo sapiens,Histamine H2 receptor,F,EC50,156,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/EC50/EC50_target63
F_CHEMBL4714_EC50,./data/ChEMBL_data/in_vitro/F/Targets_G/EC50/EC50_target24.csv,CHEMBL4714,Homo sapiens,Pyrimidinergic receptor P2Y6,F,EC50,254,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/EC50/EC50_target24
F_CHEMBL3230_EC50,./data/ChEMBL_data/in_vitro/F/Targets_G/EC50/EC50_target11.csv,CHEMBL3230,Homo sapiens,Sphingosine 1-phosphate receptor Edg-6,F,EC50,181,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/EC50/EC50_target11
F_CHEMBL5413_EC50,./data/ChEMBL_data/in_vitro/F/Targets_G/EC50/EC50_target27.csv,CHEMBL5413,Homo sapiens,Metastin receptor,F,EC50,215,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/EC50/EC50_target27
F_CHEMBL1790_EC50,./data/ChEMBL_data/in_vitro/F/Targets_G/EC50/EC50_target8.csv,CHEMBL1790,Homo sapiens,Vasopressin V2 receptor,F,EC50,204,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/EC50/EC50_target8
F_CHEMBL1881_EC50,./data/ChEMBL_data/in_vitro/F/Targets_G/EC50/EC50_target3.csv,CHEMBL1881,Homo sapiens,Prostanoid EP2 receptor,F,EC50,302,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/EC50/EC50_target3
